acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gir_x,gir_y,gir_z,displacement_speed,label
1157,9002,-12840,-460,1575,-205,243,195,-466,0,Standing-Ruminating
1226,9986,-12546,-463,1585,-264,-492,2209,-2189,0,Standing-Ruminating
870,8224,-13117,-527,1537,-248,590,-712,179,0,Standing-Ruminating
2024,9428,-12521,-515,1544,-226,212,662,-893,0,Standing-Ruminating
1698,8163,-12980,-501,1553,-281,1409,81,826,0,Standing-Ruminating
1477,8775,-12944,-526,1533,-293,-250,-1355,1697,0,Standing-Ruminating
1756,9292,-12813,-514,1548,-229,568,1333,-1118,0,Standing-Ruminating
1959,9138,-12468,-523,1557,-264,-79,435,-249,0,Standing-Ruminating
2642,9251,-12572,-635,1484,-275,1008,392,396,0,Lying-Ruminating
2174,9373,-13325,-628,1485,-276,27,-979,1334,0,Lying-Ruminating
1627,9846,-12299,-657,1458,-308,371,543,-179,0,Lying-Ruminating
313,9690,-12636,-557,1519,-199,-230,-476,830,0,Lying-Ruminating
80,9153,-12942,-489,1531,-177,574,997,-1044,0,Lying-Ruminating
804,9617,-13230,-393,1597,-147,730,864,-557,0,Lying-Ruminating
416,8664,-12677,-344,1610,-114,1809,3235,-3500,0,Lying-Ruminating
205,9163,-12510,-658,1461,-225,-213,-193,-56,0,Lying-Ruminating
465,10244,-12461,-633,1483,-319,-76,2022,-2418,0,Lying-Ruminating
875,9324,-12842,-607,1498,-304,166,1517,-884,0,Lying-Ruminating
1403,9327,-12854,-584,1508,-250,267,231,-11,0,Lying-Ruminating
971,8943,-12515,-585,1505,-254,973,495,-1644,0,Lying-Ruminating
713,9215,-13541,-670,1463,-365,246,713,-698,0,Lying-Ruminating
943,9608,-12513,-557,1514,-304,-316,1143,-1763,0,Lying-Ruminating
2998,9080,-12575,-226,1647,-262,-530,-540,317,0,Standing-Ruminating
3169,9165,-12722,-254,1645,-192,761,235,-195,0,Standing-Ruminating
4250,9297,-12546,-243,1644,-238,209,-230,100,0,Standing-Ruminating
3038,8859,-12642,537,1612,-86,213,403,-228,0,Standing-Ruminating
3121,8919,-12727,541,1618,-17,403,173,-267,0,Standing-Ruminating
2860,8759,-12721,538,1634,-36,72,122,-142,0,Standing-Ruminating
3785,9786,-12081,-404,1597,-336,618,1974,-1153,0,Standing-Ruminating
3560,9181,-12622,-519,1557,-375,-755,-515,407,0,Standing-Ruminating
3189,8937,-12632,-494,1557,-355,-880,-668,390,0,Standing-Ruminating
3553,8899,-12174,-484,1555,-308,618,647,-437,0,Standing-Ruminating
